Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693668905877,12,4311
1693668905984,12,4311
1693668906090,12,4311
1693668906196,12,4311
1693668906301,12,4311
1693668906406,12,4311
1693668906516,12,4311
1693668906632,12,4311
1693668906743,12,4311
1693668906854,12,4311
1693668906965,12,4311
1693668907076,12,4311
1693668907182,12,4311
1693668907292,12,4311
1693668907403,12,4311
1693668907514,12,4311
1693668907624,12,4311
1693668907735,12,4311
1693668907847,12,4311
1693668907958,12,4311
1693668908068,12,4311
1693668908180,12,4311
1693668908290,12,4311
1693668908401,12,4311
1693668908511,12,4311
1693668908622,12,4311
1693668908733,12,4311
1693668908843,12,4311
1693668908953,12,4311
1693668909063,12,4311
1693668909173,12,4311
1693668909283,12,4311
1693668909395,12,4311
1693668909505,12,4311
1693668909615,12,4311
1693668909725,12,4311
1693668909831,12,4311
1693668909939,12,4311
1693668910057,12,4311
1693668910162,12,4311
1693668910266,12,4311
1693668910371,12,4311
1693668910476,12,4311
1693668910581,12,4311
1693668910686,12,4311
1693668910791,12,4311
1693668910897,12,4311
1693668911001,12,4311
1693668911108,12,4311
1693668911213,12,4311
1693668911319,12,4311
1693668911424,12,4311
1693668911530,12,4311
1693668911634,12,4311
1693668911739,12,4311
1693668911845,12,4311
1693668911950,12,4311
1693668912054,12,4311
1693668912160,12,4311
1693668912264,12,4311
1693668912371,12,4311
1693668912477,12,4311
1693668912588,12,4311
1693668912697,12,4311
1693668912807,12,4311
1693668912917,12,4311
1693668913027,12,4311
1693668913136,12,4311
1693668913247,12,4311
1693668913355,12,4311
1693668913464,12,4311
1693668913574,12,4311
1693668913685,12,4311
1693668913790,12,4311
1693668913894,12,4311
1693668914004,12,4311
1693668914113,12,4311
1693668914223,12,4311
1693668914332,12,4311
1693668914438,12,4311
1693668914547,12,4311
1693668914653,12,4311
1693668914758,12,4311
1693668914868,12,4311
1693668914979,12,4311
1693668915084,12,4311
1693668915189,12,4311
1693668915294,12,4311
