Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693669090173,-256,4245
1693669090280,-256,4245
1693669090386,-256,4245
1693669090495,-256,4245
1693669090599,-256,4245
1693669090705,-256,4245
1693669090811,-256,4245
1693669090918,-256,4245
1693669091027,-256,4245
1693669091136,-256,4245
1693669091246,-256,4245
1693669091354,-256,4245
1693669091460,-256,4245
1693669091566,-256,4245
1693669091676,-256,4245
1693669091781,-256,4245
1693669091888,-256,4245
1693669091995,-256,4245
1693669092100,-256,4245
1693669092214,-256,4245
1693669092320,-256,4245
1693669092426,-256,4245
1693669092532,-256,4245
1693669092642,-256,4245
1693669092750,-256,4245
1693669092857,-256,4245
1693669092965,-256,4245
1693669093070,-256,4245
1693669093176,-256,4245
1693669093281,-256,4245
1693669093389,-256,4245
1693669093500,-256,4245
1693669093605,-256,4245
1693669093711,-256,4245
1693669093817,-256,4245
1693669093922,-256,4245
1693669094028,-256,4245
1693669094134,-256,4245
1693669094240,-256,4245
1693669094345,-256,4245
1693669094450,-256,4245
1693669094562,-256,4245
1693669094666,-256,4245
1693669094771,-256,4245
1693669094875,-256,4245
1693669094989,-256,4245
1693669095094,-256,4245
1693669095199,-256,4245
1693669095302,-256,4245
1693669095406,-256,4245
1693669095514,-256,4245
1693669095619,-256,4245
1693669095723,-256,4245
1693669095828,-256,4245
1693669095934,-256,4245
1693669096039,-256,4245
1693669096143,-256,4245
1693669096249,-256,4245
1693669096354,-256,4245
1693669096457,-256,4245
1693669096562,-256,4245
1693669096667,-256,4245
1693669096772,-256,4245
1693669096878,-256,4245
1693669096987,-256,4245
1693669097097,-256,4245
1693669097207,-256,4245
1693669097317,-256,4245
1693669097426,-256,4245
1693669097536,-256,4245
1693669097647,-256,4245
1693669097757,-256,4245
1693669097867,-256,4245
1693669097976,-256,4245
1693669098086,-256,4245
1693669098191,-256,4245
1693669098297,-256,4245
1693669098403,-256,4245
1693669098513,-256,4245
1693669098622,-256,4245
1693669098732,-256,4245
1693669098841,-256,4245
1693669098951,-256,4245
1693669099064,-256,4245
1693669099174,-256,4245
1693669099281,-256,4245
1693669099389,-256,4245
1693669099493,-256,4245
1693669099601,-256,4245
1693669099706,-256,4245
