Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693669920881,166,4313
1693669920988,166,4313
1693669921094,166,4313
1693669921200,166,4313
1693669921305,166,4313
1693669921416,166,4313
1693669921527,166,4313
1693669921636,166,4313
1693669921747,166,4313
1693669921859,166,4313
1693669921970,166,4313
1693669922082,166,4313
1693669922193,166,4313
1693669922304,166,4313
1693669922417,166,4313
1693669922528,166,4313
1693669922638,166,4313
1693669922749,166,4313
1693669922859,166,4313
1693669922970,166,4313
1693669923081,166,4313
1693669923192,166,4313
1693669923303,166,4313
1693669923414,166,4313
1693669923525,166,4313
1693669923636,166,4313
1693669923747,166,4313
1693669923857,166,4313
1693669923966,166,4313
1693669924076,166,4313
1693669924188,83,4313
1693669924293,83,4313
1693669924403,83,4313
1693669924508,83,4313
1693669924619,83,4313
1693669924731,83,4313
1693669924835,83,4313
1693669924941,83,4313
1693669925046,83,4308
1693669925151,83,4308
1693669925255,83,4308
1693669925362,83,4308
1693669925466,83,4308
1693669925572,83,4308
1693669925678,83,4308
1693669925784,83,4308
1693669925888,83,4308
1693669925997,83,4308
1693669926104,83,4308
1693669926209,83,4308
1693669926314,83,4308
1693669926417,83,4308
1693669926521,83,4308
1693669926626,83,4308
1693669926732,83,4308
1693669926838,83,4308
1693669926944,83,4308
1693669927049,83,4308
1693669927154,83,4308
1693669927259,83,4308
1693669927364,83,4308
1693669927474,83,4308
1693669927584,83,4308
1693669927694,83,4308
1693669927804,83,4308
1693669927914,83,4308
1693669928024,83,4308
1693669928134,83,4308
1693669928241,83,4308
1693669928351,83,4308
1693669928460,83,4308
1693669928567,83,4308
1693669928676,83,4308
1693669928782,83,4308
1693669928892,83,4308
1693669929003,83,4308
1693669929113,83,4308
1693669929219,83,4308
1693669929324,83,4308
1693669929434,83,4308
1693669929544,83,4308
1693669929653,83,4308
1693669929763,83,4308
1693669929873,83,4308
1693669929980,83,4308
1693669930086,83,4308
1693669930191,83,4308
