Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693649334580,-161,4257
1693649334687,-161,4257
1693649334792,-161,4257
1693649334898,-161,4257
1693649335004,-161,4257
1693649335114,-161,4257
1693649335225,-161,4257
1693649335336,-161,4257
1693649335442,-161,4257
1693649335552,-161,4257
1693649335666,-161,4257
1693649335777,-161,4257
1693649335888,-161,4257
1693649335999,-161,4257
1693649336112,-161,4257
1693649336223,-161,4257
1693649336333,-161,4257
1693649336444,-161,4257
1693649336555,-161,4257
1693649336666,-161,4257
1693649336776,-161,4257
1693649336887,-161,4257
1693649336998,-161,4257
1693649337111,-161,4257
1693649337222,-161,4257
1693649337332,-161,4257
1693649337443,-161,4257
1693649337554,-161,4257
1693649337666,-161,4257
1693649337775,-161,4257
1693649337886,-161,4257
1693649337996,-161,4257
1693649338108,-161,4257
1693649338218,-161,4257
1693649338327,-161,4257
1693649338437,-161,4257
1693649338548,-161,4257
1693649338655,-161,4257
1693649338759,-161,4257
1693649338865,-161,4257
1693649338970,-161,4257
1693649339074,-161,4257
1693649339179,-161,4257
1693649339284,-161,4257
1693649339392,-161,4257
1693649339496,-161,4257
1693649339600,-161,4257
1693649339707,-161,4257
1693649339811,-161,4257
1693649339914,-161,4257
1693649340018,-161,4257
1693649340123,-161,4257
1693649340228,-161,4257
1693649340333,-161,4257
1693649340439,-161,4257
1693649340545,-161,4257
1693649340650,-161,4257
1693649340756,-161,4257
1693649340862,-161,4257
1693649340968,-161,4257
1693649341073,-161,4257
1693649341179,-161,4257
1693649341290,-161,4257
1693649341401,-161,4257
1693649341511,-161,4257
1693649341621,-161,4257
1693649341730,-161,4257
1693649341841,-161,4257
1693649341951,-161,4257
1693649342064,-161,4257
1693649342176,-161,4257
1693649342287,-161,4257
1693649342399,-161,4257
1693649342510,-161,4257
1693649342620,-161,4257
1693649342726,-161,4257
1693649342836,-161,4257
1693649342946,-161,4257
1693649343053,-161,4257
1693649343162,-161,4257
1693649343273,-161,4257
1693649343383,-161,4257
1693649343493,-161,4257
1693649343603,-161,4257
1693649343713,-161,4257
1693649343818,-161,4257
1693649343923,-161,4257
1693649344029,-161,4257
1693649344135,-161,4257
