Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693671398221,152,4309
1693671398327,152,4309
1693671398432,152,4309
1693671398541,152,4309
1693671398647,152,4309
1693671398753,152,4309
1693671398861,152,4309
1693671398965,152,4309
1693671399070,152,4309
1693671399177,152,4309
1693671399282,152,4309
1693671399386,152,4309
1693671399494,152,4309
1693671399599,152,4309
1693671399704,152,4309
1693671399809,152,4309
1693671399914,152,4309
1693671400020,152,4309
1693671400126,-336,4309
1693671400232,-336,4309
1693671400336,-336,4309
1693671400441,-336,4309
1693671400545,-336,4235
1693671400649,-336,4235
1693671400755,-336,4235
1693671400860,-336,4235
1693671400970,-336,4235
1693671401080,-336,4235
1693671401189,-336,4235
1693671401296,-336,4235
1693671401405,-336,4235
1693671401516,-336,4235
1693671401629,-336,4235
1693671401739,-336,4235
1693671401845,-336,4235
1693671401950,-336,4235
1693671402058,-336,4235
1693671402169,-336,4235
1693671402276,-336,4235
1693671402380,-336,4235
1693671402487,-336,4235
1693671402597,-336,4235
1693671402710,-336,4235
1693671402823,-336,4235
1693671402931,-336,4235
1693671403036,-336,4235
1693671403139,-336,4235
1693671403245,-336,4235
1693671403352,-336,4235
1693671403457,-336,4235
1693671403563,-336,4235
1693671403668,-336,4235
1693671403774,-336,4235
1693671403879,-336,4235
1693671403984,-336,4235
1693671404090,-336,4235
1693671404195,-336,4235
1693671404301,-336,4235
1693671404406,-336,4235
1693671404512,-336,4235
1693671404617,-336,4235
1693671404723,-336,4235
1693671404828,-336,4235
1693671404933,-336,4235
1693671405038,-336,4235
1693671405143,-336,4235
1693671405249,-336,4235
1693671405355,-336,4235
1693671405465,-336,4235
1693671405575,-336,4235
1693671405685,-336,4235
1693671405794,-336,4235
1693671405905,-336,4235
1693671406015,-336,4235
1693671406125,-336,4235
1693671406235,-336,4235
1693671406344,-336,4235
1693671406454,-336,4235
1693671406559,-336,4235
1693671406664,-336,4235
1693671406772,-336,4235
1693671406876,-336,4235
1693671406983,-336,4235
1693671407095,-336,4235
1693671407205,-336,4235
1693671407315,-336,4235
1693671407423,-336,4235
1693671407533,-336,4235
1693671407641,-336,4235
1693671407751,-336,4235
1693671407861,-336,4235
1693671407970,-336,4235
1693671408075,-336,4235
1693671408180,-336,4235
