Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693664470980,-149,4308
1693664471088,-149,4308
1693664471193,-149,4270
1693664471301,-149,4270
1693664471407,-149,4270
1693664471515,-149,4270
1693664471620,-149,4270
1693664471730,-149,4270
1693664471836,-149,4270
1693664471948,-149,4270
1693664472059,-149,4270
1693664472171,-149,4270
1693664472288,-149,4270
1693664472393,-149,4270
1693664472498,-149,4270
1693664472610,-149,4270
1693664472716,-149,4270
1693664472826,-149,4270
1693664472937,-149,4270
1693664473047,-149,4270
1693664473158,-149,4270
1693664473264,-149,4270
1693664473373,-149,4270
1693664473478,-149,4270
1693664473586,-149,4270
1693664473696,-149,4270
1693664473807,-149,4270
1693664473918,-149,4270
1693664474028,-149,4270
1693664474138,-149,4270
1693664474248,-149,4270
1693664474359,-149,4270
1693664474469,-149,4270
1693664474579,-149,4270
1693664474689,-149,4270
1693664474795,-149,4270
1693664474901,-149,4270
1693664475012,-149,4270
1693664475122,-149,4270
1693664475232,-149,4270
1693664475342,-149,4270
1693664475457,-149,4270
1693664475565,-149,4270
1693664475671,-149,4270
1693664475779,-149,4270
1693664475888,-149,4270
1693664475999,-149,4270
1693664476108,-149,4270
1693664476214,-149,4270
1693664476323,-149,4270
1693664476429,-149,4270
1693664476533,-149,4270
1693664476638,-149,4270
1693664476746,-149,4270
1693664476850,-149,4270
1693664476955,-149,4270
1693664477062,-149,4270
1693664477167,-149,4270
1693664477271,-149,4270
1693664477376,-149,4270
1693664477481,-149,4270
1693664477585,-149,4270
1693664477689,-149,4270
1693664477794,-149,4270
1693664477898,-149,4270
1693664478004,-149,4270
1693664478108,-149,4270
1693664478212,-149,4270
1693664478318,-149,4270
1693664478424,-149,4270
1693664478529,-149,4270
1693664478632,-149,4270
1693664478737,-149,4270
1693664478843,-149,4270
1693664478949,-149,4270
1693664479059,-149,4270
1693664479171,-149,4270
1693664479281,-149,4270
1693664479392,-149,4270
1693664479502,-149,4270
1693664479612,-149,4270
1693664479722,-149,4270
1693664479832,-149,4270
1693664479942,-149,4270
1693664480052,-149,4270
1693664480157,-149,4270
1693664480266,-149,4270
1693664480376,-149,4270
1693664480486,-149,4270
1693664480596,-149,4270
1693664480706,-149,4270
1693664480811,-149,4270
1693664480920,-149,4270
1693664481028,-149,4270
1693664481135,-149,4270
1693664481240,34,4270
1693664481345,34,4270
1693664481452,34,4270
1693664481556,34,4270
1693664481662,34,4281
1693664481768,34,4281
