Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693665029373,52,4311
1693665029480,52,4311
1693665029586,52,4311
1693665029693,52,4311
1693665029801,52,4311
1693665029906,52,4311
1693665030011,52,4311
1693665030121,52,4311
1693665030232,52,4311
1693665030339,52,4311
1693665030450,52,4311
1693665030560,52,4311
1693665030677,52,4311
1693665030782,52,4311
1693665030893,52,4311
1693665031002,52,4311
1693665031112,52,4311
1693665031222,52,4311
1693665031332,52,4311
1693665031443,52,4311
1693665031549,52,4311
1693665031659,52,4311
1693665031769,52,4311
1693665031881,52,4311
1693665031991,52,4311
1693665032103,52,4311
1693665032213,52,4311
1693665032319,52,4311
1693665032429,52,4311
1693665032543,52,4311
1693665032648,52,4311
1693665032754,52,4311
1693665032864,52,4311
1693665032975,52,4311
1693665033085,52,4311
1693665033195,52,4311
1693665033305,52,4311
1693665033415,52,4311
1693665033522,52,4311
1693665033627,52,4311
1693665033731,52,4311
1693665033838,52,4311
1693665033943,52,4311
1693665034047,52,4311
1693665034153,52,4311
1693665034258,52,4311
1693665034362,52,4311
1693665034466,52,4311
1693665034571,52,4311
1693665034675,52,4311
1693665034781,52,4311
1693665034886,52,4311
1693665034991,52,4311
1693665035098,52,4311
1693665035203,52,4311
1693665035308,52,4311
1693665035412,52,4311
1693665035515,52,4311
1693665035620,52,4311
1693665035724,52,4311
1693665035829,52,4311
1693665035935,52,4311
1693665036041,52,4311
1693665036146,52,4311
1693665036255,52,4311
1693665036365,52,4311
1693665036475,52,4311
1693665036585,52,4311
1693665036694,52,4311
1693665036805,52,4311
1693665036915,52,4311
1693665037021,52,4311
1693665037126,52,4311
1693665037231,52,4311
1693665037340,52,4311
1693665037453,52,4311
1693665037563,52,4311
1693665037670,52,4311
1693665037776,52,4311
1693665037885,52,4311
1693665037996,52,4311
1693665038105,52,4311
1693665038216,52,4311
1693665038325,52,4311
1693665038435,52,4311
1693665038545,52,4311
1693665038651,52,4311
1693665038755,52,4311
1693665038861,52,4311
1693665038966,52,4311
