Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693644910783,-177,4251
1693644910890,-177,4251
1693644910996,-177,4251
1693644911101,-177,4251
1693644911208,-177,4251
1693644911313,-177,4251
1693644911417,-177,4251
1693644911523,-177,4251
1693644911629,-177,4251
1693644911735,-177,4251
1693644911842,-177,4251
1693644911948,-177,4251
1693644912055,-177,4251
1693644912161,-177,4251
1693644912265,-177,4251
1693644912373,-177,4251
1693644912482,-177,4251
1693644912589,-177,4251
1693644912700,-177,4251
1693644912811,-177,4251
1693644912922,-177,4251
1693644913033,-177,4251
1693644913144,-177,4251
1693644913254,-177,4251
1693644913365,-177,4251
1693644913477,-177,4251
1693644913587,-177,4251
1693644913698,-177,4251
1693644913808,-177,4251
1693644913918,-177,4251
1693644914029,-177,4251
1693644914141,-177,4251
1693644914251,-177,4251
1693644914361,-177,4251
1693644914471,-177,4251
1693644914577,-177,4251
1693644914687,-177,4251
1693644914805,-177,4251
1693644914912,-177,4251
1693644915017,-177,4251
1693644915121,-177,4251
1693644915226,-177,4251
1693644915330,-177,4251
1693644915436,-177,4251
1693644915541,-177,4251
1693644915646,-177,4251
1693644915752,-177,4251
1693644915857,-177,4251
1693644915962,-177,4251
1693644916068,-177,4251
1693644916174,-177,4251
1693644916280,-177,4251
1693644916385,-177,4251
1693644916491,-177,4251
1693644916597,-177,4251
1693644916702,-177,4251
1693644916808,-177,4251
1693644916914,-177,4251
1693644917020,-177,4251
1693644917126,-177,4251
1693644917232,-177,4251
1693644917338,-177,4251
1693644917447,-177,4251
1693644917557,-177,4251
1693644917666,-177,4251
1693644917776,-177,4251
1693644917886,-177,4251
1693644917995,-177,4251
1693644918105,-177,4251
1693644918215,-177,4251
1693644918325,-177,4251
1693644918435,-177,4251
1693644918540,-177,4251
1693644918645,-177,4251
1693644918750,-177,4251
1693644918855,-177,4251
1693644918963,-177,4251
1693644919073,-177,4251
1693644919183,-177,4251
1693644919288,-177,4251
1693644919397,-177,4251
1693644919507,-177,4251
1693644919617,-177,4251
1693644919727,-177,4251
1693644919838,-177,4251
1693644919944,-177,4251
1693644920050,-177,4251
1693644920155,-177,4251
