Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693666046059,141,4310
1693666046168,141,4310
1693666046273,141,4310
1693666046379,141,4310
1693666046484,141,4310
1693666046594,141,4310
1693666046706,141,4310
1693666046817,141,4310
1693666046928,141,4310
1693666047039,141,4310
1693666047152,141,4310
1693666047263,141,4310
1693666047373,141,4310
1693666047484,141,4310
1693666047595,141,4310
1693666047706,141,4310
1693666047817,141,4310
1693666047927,141,4310
1693666048038,141,4310
1693666048149,141,4310
1693666048260,141,4310
1693666048371,141,4310
1693666048482,141,4310
1693666048594,141,4310
1693666048705,141,4310
1693666048815,141,4310
1693666048926,141,4310
1693666049036,141,4310
1693666049146,141,4310
1693666049257,141,4310
1693666049367,141,4310
1693666049477,141,4310
1693666049588,141,4310
1693666049697,141,4310
1693666049807,141,4310
1693666049915,141,4310
1693666050023,141,4310
1693666050129,141,4310
1693666050235,141,4310
1693666050341,141,4310
1693666050446,141,4310
1693666050551,141,4310
1693666050655,141,4310
1693666050761,141,4310
1693666050866,141,4310
1693666050972,141,4310
1693666051076,141,4310
1693666051180,141,4310
1693666051285,141,4310
1693666051391,141,4310
1693666051495,141,4310
1693666051599,141,4310
1693666051705,141,4310
1693666051810,141,4310
1693666051914,141,4310
1693666052018,141,4310
1693666052123,141,4310
1693666052229,141,4310
1693666052335,141,4310
1693666052440,141,4310
1693666052545,141,4310
1693666052651,141,4310
1693666052757,141,4310
1693666052862,141,4310
1693666052967,141,4310
1693666053071,141,4310
1693666053184,141,4310
1693666053291,141,4310
1693666053396,141,4310
1693666053500,141,4310
1693666053607,141,4310
1693666053712,141,4310
1693666053820,141,4310
1693666053926,141,4310
1693666054030,141,4310
1693666054134,-525,4310
1693666054239,-525,4310
1693666054344,-525,4173
1693666054448,-525,4173
1693666054552,-525,4173
1693666054659,-525,4173
1693666054764,-525,4173
1693666054871,-525,4173
1693666054979,-525,4173
1693666055085,-525,4173
1693666055190,-525,4173
1693666055295,-525,4173
1693666055399,-525,4173
