Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693666505664,-188,4258
1693666505769,-188,4258
1693666505874,-188,4258
1693666505979,-188,4258
1693666506086,-188,4258
1693666506192,-188,4258
1693666506300,-188,4258
1693666506406,-188,4258
1693666506512,-188,4258
1693666506619,-188,4258
1693666506725,-188,4258
1693666506832,-188,4258
1693666506939,-188,4258
1693666507047,-188,4258
1693666507154,-188,4258
1693666507261,-188,4258
1693666507370,-188,4258
1693666507476,-188,4258
1693666507581,-188,4258
1693666507689,-188,4258
1693666507800,-188,4258
1693666507912,-188,4258
1693666508023,-188,4258
1693666508133,-188,4258
1693666508244,-188,4258
1693666508354,-188,4258
1693666508465,-188,4258
1693666508575,-188,4258
1693666508686,-188,4258
1693666508795,-188,4258
1693666508906,-188,4258
1693666509016,-188,4258
1693666509132,-188,4258
1693666509242,-188,4258
1693666509352,-188,4258
1693666509463,-188,4258
1693666509571,-188,4258
1693666509677,-188,4258
1693666509781,-188,4258
1693666509886,-188,4258
1693666509992,-188,4258
1693666510096,-188,4258
1693666510200,-188,4258
1693666510304,-188,4258
1693666510409,-188,4258
1693666510513,-188,4258
1693666510617,-188,4258
1693666510722,-188,4258
1693666510826,-188,4258
1693666510931,-188,4258
1693666511035,-188,4258
1693666511140,-188,4258
1693666511244,-188,4258
1693666511348,-188,4258
1693666511451,-188,4258
1693666511555,-188,4258
1693666511661,-188,4258
1693666511765,-188,4258
1693666511869,-188,4258
1693666511974,-188,4258
1693666512079,-188,4258
1693666512183,-188,4258
1693666512292,-188,4258
1693666512402,-188,4258
1693666512516,-188,4258
1693666512624,-188,4258
1693666512733,-188,4258
1693666512843,-188,4258
1693666512953,-188,4258
1693666513063,-188,4258
1693666513176,-188,4258
1693666513282,-188,4258
1693666513391,-188,4258
1693666513496,-188,4258
1693666513606,-188,4258
1693666513717,-188,4258
1693666513827,-188,4258
1693666513937,-188,4258
1693666514042,-188,4258
1693666514147,-188,4258
1693666514256,-188,4258
1693666514366,-188,4258
1693666514476,-188,4258
1693666514587,-188,4258
1693666514693,-188,4258
1693666514798,-188,4258
1693666514903,-188,4258
1693666515009,-188,4258
