Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693668074970,-145,4311
1693668075076,-145,4311
1693668075181,-145,4247
1693668075287,-145,4247
1693668075396,-145,4247
1693668075501,-145,4247
1693668075613,-145,4247
1693668075724,-145,4247
1693668075831,-145,4247
1693668075941,-145,4247
1693668076055,-145,4247
1693668076167,-145,4247
1693668076273,-145,4247
1693668076383,-145,4247
1693668076495,-145,4247
1693668076606,-145,4247
1693668076716,-145,4247
1693668076828,-145,4247
1693668076939,-145,4247
1693668077050,-145,4247
1693668077161,-145,4247
1693668077272,-145,4247
1693668077383,-145,4247
1693668077494,-145,4247
1693668077604,-145,4247
1693668077715,-145,4247
1693668077826,-145,4247
1693668077936,-145,4247
1693668078046,-145,4247
1693668078162,-145,4247
1693668078272,-145,4247
1693668078382,-145,4247
1693668078492,-145,4247
1693668078601,-145,4247
1693668078710,-145,4247
1693668078818,-145,4247
1693668078924,-145,4247
1693668079031,-145,4247
1693668079136,-145,4247
1693668079241,-145,4247
1693668079348,-145,4247
1693668079453,-145,4247
1693668079559,-145,4247
1693668079665,-145,4247
1693668079769,-145,4247
1693668079873,-145,4247
1693668079977,-145,4247
1693668080081,-145,4247
1693668080186,-145,4247
1693668080290,-145,4247
1693668080397,-145,4247
1693668080502,-145,4247
1693668080608,-145,4247
1693668080715,-145,4247
1693668080820,-145,4247
1693668080924,-145,4247
1693668081030,-145,4247
1693668081136,-145,4247
1693668081241,-145,4247
1693668081349,-145,4247
1693668081454,-145,4247
1693668081564,-145,4247
1693668081674,-145,4247
1693668081783,-145,4247
1693668081893,-145,4247
1693668082003,-145,4247
1693668082113,-145,4247
1693668082224,-145,4247
1693668082334,-145,4247
1693668082444,-145,4247
1693668082557,-145,4247
1693668082667,-145,4247
1693668082775,-145,4247
1693668082879,-145,4247
1693668082989,-145,4247
1693668083099,-145,4247
1693668083209,-145,4247
1693668083319,-145,4247
1693668083430,-145,4247
1693668083541,-145,4247
1693668083651,-145,4247
1693668083756,-145,4247
1693668083866,-145,4247
1693668083973,-145,4247
1693668084079,-145,4247
1693668084183,-145,4247
1693668084289,-145,4247
