Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693661037638,-397,4311
1693661037745,-397,4311
1693661037851,-397,4311
1693661037957,-397,4311
1693661038062,-397,4311
1693661038173,-397,4311
1693661038284,-397,4311
1693661038395,-397,4311
1693661038507,-397,4311
1693661038618,-397,4311
1693661038729,-397,4311
1693661038840,-397,4311
1693661038951,-397,4311
1693661039063,-397,4311
1693661039175,-397,4311
1693661039285,-397,4311
1693661039397,-397,4311
1693661039508,-397,4311
1693661039614,-397,4311
1693661039723,-397,4311
1693661039831,-397,4311
1693661039941,-397,4311
1693661040053,-397,4311
1693661040160,-397,4311
1693661040279,-397,4311
1693661040389,-397,4311
1693661040500,-397,4311
1693661040610,-397,4311
1693661040720,-397,4311
1693661040831,-397,4311
1693661040941,-397,4311
1693661041051,-397,4311
1693661041161,-397,4311
1693661041271,-397,4311
1693661041381,-397,4311
1693661041493,-397,4311
1693661041599,-397,4311
1693661041704,-397,4311
1693661041810,-397,4311
1693661041916,-397,4311
1693661042021,-397,4311
1693661042126,-397,4311
1693661042231,-397,4311
1693661042336,-397,4311
1693661042444,-397,4311
1693661042550,-397,4311
1693661042655,-397,4311
1693661042760,-397,4311
1693661042864,-397,4311
1693661042970,-397,4311
1693661043080,-304,4311
1693661043184,-304,4311
1693661043289,-304,4311
1693661043393,-304,4311
1693661043497,-304,4311
1693661043602,-304,4283
1693661043707,-304,4283
1693661043812,-304,4283
1693661043916,-304,4283
1693661044023,-304,4283
1693661044130,-304,4283
1693661044238,-304,4283
1693661044353,-304,4283
1693661044460,-304,4283
1693661044571,-304,4283
1693661044676,-304,4283
1693661044781,-304,4283
1693661044886,-304,4283
1693661044996,-304,4283
1693661045108,-304,4283
1693661045214,-304,4283
1693661045320,-304,4283
1693661045425,-304,4283
1693661045530,-304,4283
1693661045638,-304,4283
1693661045744,-304,4283
1693661045848,-304,4283
1693661045956,-304,4283
1693661046061,-304,4283
1693661046166,-304,4283
1693661046272,-304,4283
1693661046377,-304,4283
1693661046481,-304,4283
1693661046587,-304,4283
1693661046696,-304,4283
1693661046801,-304,4283
1693661046906,-304,4283
