Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693636125783,-232,4307
1693636125890,-232,4307
1693636125997,-232,4307
1693636126103,-232,4307
1693636126208,-232,4307
1693636126313,-232,4307
1693636126418,-232,4307
1693636126525,-232,4307
1693636126633,-232,4307
1693636126742,-232,4307
1693636126851,-232,4307
1693636126958,-232,4307
1693636127063,-232,4307
1693636127169,-232,4307
1693636127275,-232,4307
1693636127385,-232,4307
1693636127496,-232,4307
1693636127610,-232,4307
1693636127715,-232,4307
1693636127825,-232,4307
1693636127936,-232,4307
1693636128041,-232,4307
1693636128152,-232,4307
1693636128263,-232,4307
1693636128373,-232,4307
1693636128484,-232,4307
1693636128596,-232,4307
1693636128706,-232,4307
1693636128817,-232,4307
1693636128928,-232,4307
1693636129038,-232,4307
1693636129148,-232,4307
1693636129253,-232,4307
1693636129363,-232,4307
1693636129473,-232,4307
1693636129585,-232,4307
1693636129695,-232,4307
1693636129805,-232,4307
1693636129919,-232,4307
1693636130026,-232,4307
1693636130131,-232,4307
1693636130236,-232,4307
1693636130341,-232,4307
1693636130454,-232,4307
1693636130559,-232,4307
1693636130669,-232,4307
1693636130779,-232,4307
1693636130889,-232,4307
1693636130999,-232,4307
1693636131104,-92,4307
1693636131211,-92,4307
1693636131321,-92,4238
1693636131427,-92,4238
1693636131532,-92,4238
1693636131637,-92,4238
1693636131742,-92,4238
1693636131848,-92,4238
1693636131953,-92,4238
1693636132057,-92,4238
1693636132162,-92,4238
1693636132267,-92,4238
1693636132373,-92,4238
1693636132480,-92,4238
1693636132585,-92,4238
1693636132690,-92,4238
1693636132798,-92,4238
1693636132906,-92,4238
1693636133011,-92,4238
1693636133116,-92,4238
1693636133222,-92,4238
1693636133327,-92,4238
1693636133431,-92,4238
1693636133536,-92,4238
1693636133639,-92,4238
1693636133744,-92,4238
1693636133850,-92,4238
1693636133959,-92,4238
1693636134065,-92,4238
1693636134170,-92,4238
1693636134280,-92,4238
1693636134389,-92,4238
1693636134494,-92,4238
1693636134600,-92,4238
1693636134705,-92,4238
1693636134811,-92,4238
1693636134917,-92,4238
1693636135022,-92,4238
1693636135127,-92,4238
1693636135232,-92,4238
1693636135341,-92,4238
1693636135451,-92,4238
1693636135560,-92,4238
1693636135668,-92,4238
1693636135774,-92,4238
1693636135879,-92,4238
1693636135987,-92,4238
1693636136103,-92,4238
1693636136208,-92,4238
1693636136318,-92,4238
1693636136423,-92,4238
1693636136528,-92,4238
1693636136634,-92,4238
