Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693659471719,150,4306
1693659471829,150,4306
1693659471934,150,4306
1693659472041,150,4306
1693659472148,150,4306
1693659472258,150,4306
1693659472369,150,4306
1693659472482,150,4306
1693659472588,-43,4306
1693659472698,-43,4306
1693659472810,-43,4306
1693659472920,-43,4306
1693659473045,-43,4294
1693659473155,-43,4294
1693659473266,-43,4294
1693659473377,-43,4294
1693659473488,-43,4294
1693659473598,-43,4294
1693659473709,-43,4294
1693659473819,-43,4294
1693659473930,-43,4294
1693659474041,-43,4294
1693659474152,-43,4294
1693659474263,-43,4294
1693659474373,-43,4294
1693659474486,-43,4294
1693659474596,-43,4294
1693659474706,-43,4294
1693659474816,-43,4294
1693659474927,-43,4294
1693659475037,-43,4294
1693659475147,-43,4294
1693659475257,-43,4294
1693659475367,-43,4294
1693659475479,-43,4294
1693659475585,-43,4294
1693659475690,-43,4294
1693659475796,-43,4294
1693659475902,-43,4294
1693659476007,-43,4294
1693659476112,-43,4294
1693659476216,-43,4294
1693659476324,-43,4294
1693659476430,-43,4294
1693659476535,-43,4294
1693659476642,-43,4294
1693659476749,-43,4294
1693659476853,-43,4294
1693659476957,-43,4294
1693659477064,-43,4294
1693659477169,-43,4294
1693659477275,-43,4294
1693659477381,-43,4294
1693659477489,-43,4294
1693659477596,-43,4294
1693659477702,-43,4294
1693659477807,-43,4294
1693659477912,-43,4294
1693659478018,-43,4294
1693659478124,-43,4294
1693659478233,-43,4294
1693659478347,-43,4294
1693659478457,-43,4294
1693659478567,-43,4294
1693659478677,-43,4294
1693659478787,-43,4294
1693659478898,-43,4294
1693659479008,-43,4294
1693659479118,-43,4294
1693659479227,-43,4294
1693659479334,-43,4294
1693659479439,-43,4294
1693659479544,-43,4294
1693659479652,-43,4294
1693659479761,-43,4294
1693659479872,-43,4294
1693659479982,-43,4294
1693659480090,-43,4294
1693659480204,-43,4294
1693659480313,-43,4294
1693659480423,-43,4294
1693659480533,-43,4294
1693659480643,-43,4294
1693659480748,-43,4294
1693659480854,-43,4294
1693659480959,-43,4294
