Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693652653731,53,4239
1693652653838,53,4239
1693652653944,53,4239
1693652654054,53,4239
1693652654163,53,4239
1693652654273,53,4239
1693652654384,53,4239
1693652654495,53,4239
1693652654601,53,4239
1693652654712,53,4239
1693652654818,53,4239
1693652654928,53,4239
1693652655040,53,4239
1693652655152,53,4239
1693652655263,53,4239
1693652655375,53,4239
1693652655487,53,4239
1693652655599,53,4239
1693652655715,53,4239
1693652655826,53,4239
1693652655937,53,4239
1693652656049,53,4239
1693652656160,53,4239
1693652656271,53,4239
1693652656381,53,4239
1693652656492,53,4239
1693652656604,53,4239
1693652656714,53,4239
1693652656824,53,4239
1693652656936,53,4239
1693652657047,53,4239
1693652657157,53,4239
1693652657267,53,4239
1693652657378,53,4239
1693652657488,53,4239
1693652657597,53,4239
1693652657704,53,4239
1693652657809,53,4239
1693652657915,53,4239
1693652658020,53,4239
1693652658123,53,4239
1693652658228,53,4239
1693652658335,53,4239
1693652658440,53,4239
1693652658547,53,4239
1693652658652,53,4239
1693652658756,53,4239
1693652658860,53,4239
1693652658965,53,4239
1693652659070,53,4239
1693652659176,53,4239
1693652659281,53,4239
1693652659387,53,4239
1693652659492,53,4239
1693652659598,53,4239
1693652659704,53,4239
1693652659810,53,4239
1693652659915,53,4239
1693652660021,53,4239
1693652660127,53,4239
1693652660232,53,4239
1693652660343,53,4239
1693652660452,53,4239
1693652660562,53,4239
1693652660672,53,4239
1693652660780,53,4239
1693652660887,53,4239
1693652660996,53,4239
1693652661106,53,4239
1693652661216,53,4239
1693652661326,53,4239
1693652661432,53,4239
1693652661541,53,4239
1693652661650,53,4239
1693652661759,53,4239
1693652661869,53,4239
1693652661979,53,4239
1693652662089,53,4239
1693652662198,53,4239
1693652662308,53,4239
1693652662418,53,4239
1693652662528,53,4239
1693652662640,-38,4239
1693652662752,-38,4239
1693652662858,-38,4239
1693652662962,-38,4239
1693652663068,-38,4239
