Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693652746315,140,4310
1693652746422,140,4310
1693652746527,140,4310
1693652746633,140,4310
1693652746739,-37,4310
1693652746852,-37,4310
1693652746964,-37,4310
1693652747076,-37,4310
1693652747185,-37,4298
1693652747295,-37,4298
1693652747406,-37,4298
1693652747517,-37,4298
1693652747628,-37,4298
1693652747739,-37,4298
1693652747851,-37,4298
1693652747961,-37,4298
1693652748076,-37,4298
1693652748182,-37,4298
1693652748288,-37,4298
1693652748397,-37,4298
1693652748508,-37,4298
1693652748619,-37,4298
1693652748730,-37,4298
1693652748840,-37,4298
1693652748951,-37,4298
1693652749062,-37,4298
1693652749173,-37,4298
1693652749283,-37,4298
1693652749396,-37,4298
1693652749507,-37,4298
1693652749620,-37,4298
1693652749730,-37,4298
1693652749840,-37,4298
1693652749951,-37,4298
1693652750062,-37,4298
1693652750173,-37,4298
1693652750280,-37,4298
1693652750384,-37,4298
1693652750490,-37,4298
1693652750595,-37,4298
1693652750700,-37,4298
1693652750806,-37,4298
1693652750911,-37,4298
1693652751016,-37,4298
1693652751121,-37,4298
1693652751226,-37,4298
1693652751330,-37,4298
1693652751435,-37,4298
1693652751541,-37,4298
1693652751646,-37,4298
1693652751753,-37,4298
1693652751867,-37,4298
1693652751972,-37,4298
1693652752077,-37,4298
1693652752181,-37,4298
1693652752285,-37,4298
1693652752389,-37,4298
1693652752494,-37,4298
1693652752598,-37,4298
1693652752703,-37,4298
1693652752809,-37,4298
1693652752914,-37,4298
1693652753019,-37,4298
1693652753124,-37,4298
1693652753228,-37,4298
1693652753336,-37,4298
1693652753447,-37,4298
1693652753558,-37,4298
1693652753667,-37,4298
1693652753773,-37,4298
1693652753879,-37,4298
1693652753984,-37,4298
1693652754091,-37,4298
1693652754207,-37,4298
1693652754313,-37,4298
1693652754421,-37,4298
1693652754535,-37,4298
1693652754646,-37,4298
1693652754756,-37,4298
1693652754867,-37,4298
1693652754977,-37,4298
1693652755083,-37,4298
1693652755192,-37,4298
1693652755301,-37,4298
1693652755411,-37,4298
1693652755521,-37,4298
1693652755626,-37,4298
1693652755731,-37,4298
