Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693676596981,-292,4301
1693676597089,-292,4301
1693676597195,-292,4301
1693676597301,-292,4301
1693676597407,-292,4301
1693676597517,-292,4301
1693676597627,-292,4301
1693676597740,-292,4301
1693676597851,-292,4301
1693676597964,-292,4301
1693676598069,-292,4301
1693676598179,-292,4301
1693676598290,-292,4301
1693676598402,-292,4301
1693676598513,-292,4301
1693676598624,-292,4301
1693676598735,-292,4301
1693676598845,-292,4301
1693676598956,-292,4301
1693676599067,-292,4301
1693676599178,-292,4301
1693676599288,-292,4301
1693676599399,-292,4301
1693676599510,-292,4301
1693676599620,-292,4301
1693676599731,-292,4301
1693676599842,-292,4301
1693676599951,-292,4301
1693676600061,-292,4301
1693676600173,-292,4301
1693676600284,-292,4301
1693676600394,-292,4301
1693676600504,-292,4301
1693676600614,-292,4301
1693676600724,-292,4301
1693676600835,-292,4301
1693676600947,-292,4301
1693676601051,-292,4301
1693676601158,-292,4301
1693676601262,-292,4301
1693676601367,-292,4301
1693676601474,-292,4301
1693676601579,-292,4301
1693676601686,-292,4301
1693676601791,-292,4301
1693676601895,-292,4301
1693676602000,-292,4301
1693676602105,-292,4301
1693676602209,-292,4301
1693676602314,-292,4301
1693676602423,-292,4301
1693676602529,-292,4301
1693676602635,-292,4301
1693676602743,-292,4301
1693676602854,-292,4301
1693676602961,-292,4301
1693676603067,-292,4301
1693676603174,-292,4301
1693676603281,-292,4301
1693676603387,-292,4301
1693676603492,-292,4301
1693676603597,-292,4301
1693676603706,-292,4301
1693676603811,-292,4301
1693676603916,-292,4301
1693676604025,-292,4301
1693676604132,-292,4301
1693676604241,-292,4301
1693676604347,-292,4301
1693676604454,-292,4301
1693676604569,-292,4301
1693676604679,-176,4301
1693676604789,-176,4301
1693676604894,-176,4301
1693676604998,-176,4301
1693676605103,-176,4301
1693676605208,-176,4255
1693676605313,-176,4255
1693676605417,-176,4255
1693676605523,-176,4255
1693676605628,-176,4255
1693676605732,-176,4255
1693676605841,-176,4255
1693676605952,-176,4255
1693676606060,-176,4255
1693676606165,-176,4255
1693676606269,-176,4255
1693676606375,-176,4255
