Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693655598140,180,4311
1693655598246,180,4311
1693655598352,180,4311
1693655598457,180,4311
1693655598563,180,4311
1693655598677,180,4311
1693655598782,-342,4311
1693655598887,-342,4311
1693655598995,-342,4311
1693655599101,-342,4311
1693655599208,-342,4311
1693655599314,-342,4257
1693655599420,-342,4257
1693655599525,-342,4257
1693655599630,-342,4257
1693655599741,-342,4257
1693655599851,-342,4257
1693655599962,-342,4257
1693655600073,-342,4257
1693655600183,-342,4257
1693655600294,-342,4257
1693655600405,-342,4257
1693655600515,-342,4257
1693655600627,-342,4257
1693655600737,-342,4257
1693655600848,-342,4257
1693655600959,-342,4257
1693655601069,-342,4257
1693655601180,-342,4257
1693655601289,-342,4257
1693655601399,-342,4257
1693655601509,-342,4257
1693655601621,-342,4257
1693655601732,-342,4257
1693655601844,-342,4257
1693655601949,-342,4257
1693655602057,-342,4257
1693655602167,-342,4257
1693655602277,-342,4257
1693655602387,-342,4257
1693655602512,-342,4257
1693655602616,-342,4257
1693655602721,-342,4257
1693655602851,-342,4257
1693655602958,-342,4257
1693655603064,-342,4257
1693655603170,-342,4257
1693655603276,-342,4257
1693655603384,-342,4257
1693655603491,-342,4257
1693655603597,-342,4257
1693655603703,-342,4257
1693655603808,-342,4257
1693655603915,-342,4257
1693655604020,-342,4257
1693655604125,-342,4257
1693655604230,-342,4257
1693655604335,-342,4257
1693655604439,-342,4257
1693655604544,-342,4257
1693655604648,-342,4257
1693655604755,-342,4257
1693655604860,-342,4257
1693655604965,-342,4257
1693655605070,-342,4257
1693655605179,-342,4257
1693655605289,-342,4257
1693655605397,-342,4257
1693655605505,-342,4257
1693655605622,-342,4257
1693655605732,-342,4257
1693655605843,-342,4257
1693655605953,-342,4257
1693655606059,-342,4257
1693655606167,-342,4257
1693655606276,-342,4257
1693655606386,-342,4257
1693655606500,-342,4257
1693655606605,-342,4257
1693655606711,-342,4257
1693655606815,-342,4257
1693655606921,-342,4257
1693655607026,-342,4257
1693655607135,-342,4257
1693655607241,-342,4257
1693655607347,-342,4257
1693655607453,-342,4257
1693655607557,-342,4257
1693655607662,-342,4257
1693655607766,-342,4257
1693655607871,-342,4257
