Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693614178146,6713,4394
1693614178252,6713,4394
1693614178357,6713,4394
1693614178461,6713,4394
1693614178565,6713,4394
1693614178669,6713,4394
1693614178773,6713,4394
1693614178876,6713,4394
1693614178981,6713,4394
1693614179086,6713,4394
1693614179191,6713,4394
1693614179298,6713,4394
1693614179404,6713,4394
1693614179511,6713,4394
1693614179616,6713,4394
1693614179722,6713,4394
1693614179826,8544,4394
1693614179933,8544,4394
1693614180037,8544,4394
1693614180143,8544,4394
1693614180249,8544,4394
1693614180356,8544,4394
1693614180462,8544,4394
1693614180566,8544,4394
1693614180670,8544,4394
1693614180773,8544,4394
1693614180876,8544,4394
1693614180979,8544,4394
1693614181086,8544,4394
1693614181193,8544,4394
1693614181299,8544,4394
1693614181405,8544,4394
1693614181512,8544,4394
1693614181618,8544,4394
1693614181724,8544,4394
1693614181831,8544,4394
1693614181934,8544,4394
1693614182040,8544,4394
1693614182146,8544,4394
1693614182253,8544,4394
1693614182359,8544,4394
1693614182463,8544,4394
1693614182566,8544,4394
1693614182671,8544,4394
1693614182778,8544,4394
1693614182884,8544,4394
1693614182990,8544,4394
1693614183096,8544,4394
1693614183202,8544,4394
1693614183309,8544,4394
1693614183415,8544,4394
1693614183521,8544,4394
1693614183627,8544,4394
1693614183733,8544,4394
1693614183839,8544,4394
1693614183946,8544,4394
1693614184052,8544,4394
1693614184158,8544,4394
1693614184265,8544,4394
1693614184371,8544,4394
1693614184477,8544,4394
1693614184584,8544,4394
1693614184689,8544,4394
1693614184795,8544,4394
1693614184902,8544,4394
1693614185009,8544,4394
1693614185115,8544,4394
1693614185221,8544,4394
1693614185328,8544,4394
1693614185434,8544,4394
1693614185540,8544,4394
1693614185647,8544,4394
1693614185750,8544,4394
