Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693593275351,6408,4409
1693593275459,6408,4409
1693593275564,6408,4409
1693593275667,6408,4409
1693593275772,6408,4409
1693593275876,6408,4409
1693593275981,6408,4409
1693593276086,6408,4409
1693593276193,6408,4409
1693593276297,6408,4409
1693593276402,6408,4409
1693593276507,6408,4409
1693593276612,6408,4409
1693593276716,6408,4409
1693593276821,6408,4409
1693593276927,6408,4409
1693593277032,6408,4409
1693593277136,6408,4409
1693593277241,6408,4409
1693593277347,6408,4409
1693593277454,6408,4409
1693593277561,6408,4409
1693593277667,6408,4409
1693593277773,6408,4409
1693593277879,6408,4409
1693593277984,6408,4409
1693593278090,6408,4409
1693593278197,6408,4409
1693593278302,6408,4409
1693593278405,6408,4409
1693593278512,6408,4409
1693593278618,6408,4409
1693593278723,6408,4409
1693593278829,6408,4409
1693593278935,6408,4409
1693593279042,6408,4409
1693593279148,6408,4409
1693593279254,6408,4409
1693593279361,6408,4409
1693593279466,6408,4409
1693593279574,6408,4409
1693593279681,6408,4409
1693593279785,6408,4409
1693593279891,6408,4409
1693593279997,6408,4409
1693593280102,6408,4409
1693593280209,6408,4409
1693593280314,6408,4409
1693593280419,6408,4409
1693593280525,6408,4409
1693593280632,6408,4409
1693593280738,6408,4409
1693593280843,6408,4409
1693593280949,6408,4409
1693593281055,6408,4409
1693593281160,6408,4409
1693593281265,6408,4409
1693593281371,6408,4409
1693593281475,6408,4409
1693593281580,6408,4409
1693593281686,6408,4409
1693593281790,6408,4409
1693593281897,6408,4409
1693593282003,6408,4409
1693593282109,6408,4409
1693593282215,12512,4409
1693593282321,12512,4409
1693593282427,12512,4409
1693593282533,12512,4409
1693593282639,12512,4409
1693593282746,12512,4409
1693593282852,12512,4409
1693593282958,12512,4409
1693593283064,12512,4409
1693593283170,12512,4409
1693593283277,12512,4409
1693593283383,12512,4409
1693593283487,12512,4409
