Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693609581551,6713,4395
1693609581655,6713,4395
1693609581759,6713,4395
1693609581863,6713,4395
1693609581966,6713,4395
1693609582070,6713,4395
1693609582175,6713,4395
1693609582280,6713,4395
1693609582385,6713,4395
1693609582491,6713,4395
1693609582596,6713,4395
1693609582702,6713,4395
1693609582807,6713,4395
1693609582913,6713,4395
1693609583020,6713,4395
1693609583127,6713,4395
1693609583233,6713,4395
1693609583338,6713,4395
1693609583445,6713,4395
1693609583551,6713,4395
1693609583655,6713,4395
1693609583764,6713,4395
1693609583867,6713,4395
1693609583971,6713,4395
1693609584074,6713,4395
1693609584179,6713,4395
1693609584285,6713,4395
1693609584391,6713,4395
1693609584498,6713,4395
1693609584604,6713,4395
1693609584712,6713,4395
1693609584818,6713,4395
1693609584924,6713,4395
1693609585030,6713,4395
1693609585136,6713,4395
1693609585243,6713,4395
1693609585349,6713,4395
1693609585455,6713,4395
1693609585561,6713,4395
1693609585667,6713,4395
1693609585772,6713,4395
1693609585876,6713,4395
1693609585981,6713,4395
1693609586084,6713,4395
1693609586189,6713,4395
1693609586293,6713,4395
1693609586397,6713,4395
1693609586501,6713,4395
1693609586607,6713,4395
1693609586713,6713,4395
1693609586819,6713,4395
1693609586924,6713,4395
1693609587029,6713,4395
1693609587135,6713,4395
1693609587241,6713,4395
1693609587348,6713,4395
1693609587454,6713,4395
1693609587560,6713,4395
1693609587665,6713,4395
1693609587770,6713,4395
1693609587874,6713,4395
1693609587980,6713,4395
1693609588086,6713,4395
1693609588193,6713,4395
1693609588299,6713,4395
1693609588405,6713,4395
1693609588512,6713,4395
1693609588622,6713,4395
1693609588726,6713,4395
1693609588832,6713,4395
