Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693588756315,8239,4411
1693588756421,8239,4411
1693588756525,8239,4411
1693588756629,8239,4411
1693588756733,8239,4411
1693588756837,8239,4411
1693588756942,8239,4411
1693588757047,8239,4411
1693588757153,8239,4411
1693588757259,8239,4411
1693588757366,8239,4411
1693588757472,8239,4411
1693588757579,8239,4411
1693588757682,8239,4411
1693588757790,8239,4411
1693588757897,8239,4411
1693588758004,8239,4411
1693588758110,8239,4411
1693588758216,8239,4411
1693588758323,8239,4411
1693588758430,8239,4411
1693588758542,8239,4411
1693588758646,8239,4411
1693588758752,8239,4411
1693588758859,8239,4411
1693588758966,8239,4411
1693588759071,8239,4411
1693588759177,8239,4411
1693588759284,8239,4411
1693588759391,8239,4411
1693588759497,8239,4411
1693588759603,8239,4411
1693588759710,8239,4411
1693588759816,8239,4411
1693588759923,8239,4411
1693588760029,8239,4411
1693588760136,8239,4411
1693588760242,8239,4411
1693588760349,8239,4411
1693588760455,8239,4411
1693588760560,8239,4411
1693588760667,8239,4411
1693588760774,8239,4411
1693588760881,8239,4411
1693588760987,8239,4411
1693588761094,8239,4411
1693588761198,8239,4411
1693588761307,8239,4411
1693588761413,8239,4411
1693588761520,8239,4411
1693588761626,8239,4411
1693588761733,8239,4411
1693588761839,8239,4411
1693588761946,8239,4411
1693588762052,9155,4411
1693588762158,9155,4411
1693588762265,9155,4411
1693588762372,9155,4411
1693588762478,9155,4411
1693588762582,9155,4411
1693588762687,9155,4411
1693588762794,9155,4411
1693588762900,9155,4411
1693588763007,9155,4411
1693588763113,9155,4411
1693588763219,9155,4411
1693588763325,9155,4411
1693588763432,9155,4411
1693588763538,9155,4411
1693588763645,9155,4411
1693588763749,9155,4411
