Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693610203960,5493,4396
1693610204065,5493,4396
1693610204168,5493,4396
1693610204271,5493,4396
1693610204375,5493,4396
1693610204478,5493,4396
1693610204581,5493,4396
1693610204685,5493,4396
1693610204788,5493,4396
1693610204891,5493,4396
1693610204995,5493,4396
1693610205099,5493,4396
1693610205203,5493,4396
1693610205306,5493,4396
1693610205411,5493,4396
1693610205514,5493,4396
1693610205619,5493,4396
1693610205723,5493,4396
1693610205827,5493,4396
1693610205932,5493,4396
1693610206036,5493,4396
1693610206140,5493,4396
1693610206244,5493,4396
1693610206349,5493,4396
1693610206453,5493,4396
1693610206557,5493,4396
1693610206661,5493,4396
1693610206765,5493,4396
1693610206869,5493,4396
1693610206972,5493,4396
1693610207077,5493,4396
1693610207180,5493,4396
1693610207284,5493,4397
1693610207395,5493,4397
1693610207499,5493,4397
1693610207604,5493,4397
1693610207711,5493,4397
1693610207816,5493,4397
1693610207921,5493,4397
1693610208025,5493,4397
1693610208130,5493,4397
1693610208238,5493,4397
1693610208343,5493,4397
1693610208448,5493,4397
1693610208554,5493,4397
1693610208661,5493,4397
1693610208767,5493,4397
1693610208873,5493,4397
1693610208980,5493,4397
1693610209086,5493,4397
1693610209192,5493,4397
1693610209298,5493,4397
1693610209405,5493,4397
1693610209510,5493,4397
1693610209617,5493,4397
1693610209723,5493,4397
1693610209828,5493,4397
1693610209934,5493,4397
1693610210040,5493,4397
1693610210144,5493,4397
1693610210251,5493,4397
1693610210358,5493,4397
1693610210464,5493,4397
1693610210571,5493,4397
1693610210677,5493,4397
1693610210782,5493,4397
1693610210889,5493,4397
1693610210993,5493,4397
1693610211096,5493,4397
1693610211202,5493,4397
1693610211307,5493,4397
1693610211412,5493,4397
1693610211518,5493,4397
1693610211624,5493,4397
1693610211728,5493,4397
1693610211834,5493,4397
1693610211939,5493,4397
1693610212043,5493,4397
1693610212149,5493,4397
1693610212255,5493,4397
1693610212361,5493,4397
1693610212466,5493,4397
1693610212572,5493,4397
1693610212678,5493,4397
1693610212785,5493,4397
1693610212891,5493,4397
1693610212997,10986,4397
1693610213104,10986,4397
1693610213210,10986,4397
1693610213317,10986,4397
1693610213422,10986,4397
1693610213527,10986,4397
1693610213634,10986,4397
1693610213742,10986,4397
1693610213849,10986,4397
1693610213955,10986,4397
1693610214061,10986,4397
1693610214167,10986,4397
1693610214273,10986,4397
1693610214379,10986,4397
1693610214486,10986,4397
1693610214591,10986,4397
1693610214697,10986,4397
1693610214804,10986,4397
1693610214910,10986,4397
1693610215016,10986,4397
1693610215122,10986,4397
1693610215226,10986,4397
1693610215330,10986,4397
1693610215436,10986,4397
1693610215542,10986,4397
1693610215648,10986,4397
1693610215754,10986,4397
1693610215862,10986,4397
1693610215969,10986,4397
1693610216080,10986,4397
1693610216187,10986,4397
