Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693610391258,7019,4396
1693610391362,7019,4396
1693610391465,7019,4396
1693610391569,7019,4396
1693610391673,7019,4396
1693610391777,7019,4396
1693610391883,7019,4396
1693610391988,7019,4396
1693610392094,7019,4396
1693610392201,7019,4396
1693610392308,7019,4396
1693610392414,7019,4396
1693610392520,7019,4396
1693610392627,7019,4396
1693610392734,7019,4396
1693610392840,7019,4396
1693610392947,7019,4396
1693610393052,7019,4396
1693610393159,7019,4396
1693610393266,7019,4396
1693610393376,7019,4396
1693610393479,7019,4396
1693610393584,7019,4396
1693610393688,7019,4396
1693610393791,7019,4396
1693610393897,7019,4396
1693610394003,7019,4396
1693610394109,7019,4396
1693610394215,7019,4396
1693610394321,7019,4396
1693610394427,7019,4396
1693610394534,7019,4396
1693610394640,7019,4396
1693610394747,7019,4396
1693610394853,7019,4396
1693610394959,7019,4396
1693610395065,7019,4396
1693610395171,7019,4396
1693610395277,7019,4396
1693610395384,7019,4396
1693610395490,7019,4396
1693610395593,7324,4396
1693610395700,7324,4396
1693610395806,7324,4396
1693610395910,7324,4396
1693610396017,7324,4396
1693610396124,7324,4396
1693610396230,7324,4396
1693610396337,7324,4396
1693610396443,7324,4396
1693610396549,7324,4396
1693610396655,7324,4396
1693610396762,7324,4396
1693610396868,7324,4396
1693610396974,7324,4396
1693610397081,7324,4396
1693610397187,7324,4396
1693610397293,7324,4396
1693610397401,7324,4396
1693610397507,7324,4396
1693610397611,7324,4396
1693610397715,7324,4396
1693610397820,7324,4396
1693610397925,7324,4396
1693610398030,7324,4396
1693610398136,7324,4396
1693610398241,7324,4396
1693610398347,7324,4396
1693610398452,7324,4396
1693610398556,7324,4396
