Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693583809238,7324,4414
1693583809344,7324,4414
1693583809447,7324,4414
1693583809550,7324,4414
1693583809654,7324,4414
1693583809757,7324,4414
1693583809862,7324,4414
1693583809969,7324,4414
1693583810075,7324,4414
1693583810181,7324,4414
1693583810288,7324,4414
1693583810394,7324,4414
1693583810502,7324,4414
1693583810608,7324,4414
1693583810714,7324,4414
1693583810821,7324,4414
1693583810927,7324,4414
1693583811034,7324,4414
1693583811141,7324,4414
1693583811247,7324,4414
1693583811352,7324,4414
1693583811456,7324,4414
1693583811559,7324,4414
1693583811665,7324,4414
1693583811771,7324,4414
1693583811876,7324,4414
1693583811982,7324,4414
1693583812089,7324,4414
1693583812196,7324,4414
1693583812302,7324,4414
1693583812408,7324,4414
1693583812514,7324,4414
1693583812621,7324,4414
1693583812727,7324,4414
1693583812833,7324,4414
1693583812940,7324,4414
1693583813046,7324,4414
1693583813153,7324,4414
1693583813258,7324,4414
1693583813364,7324,4414
1693583813468,7324,4414
1693583813572,7324,4414
1693583813679,7324,4414
1693583813783,7324,4414
1693583813891,7324,4414
1693583813997,7324,4414
1693583814104,7324,4414
1693583814210,7324,4414
1693583814317,7324,4414
1693583814424,7324,4414
1693583814529,7324,4414
1693583814636,7324,4414
1693583814742,7324,4414
1693583814848,7324,4414
1693583814955,7324,4414
1693583815061,7324,4414
1693583815167,7324,4414
1693583815273,7324,4414
1693583815380,7324,4414
1693583815486,7324,4414
1693583815591,7324,4414
1693583815696,7324,4414
1693583815802,7324,4414
1693583815907,7324,4414
1693583816010,7324,4414
1693583816116,7324,4414
1693583816222,7324,4414
1693583816328,7324,4414
1693583816435,7324,4414
1693583816539,7324,4414
