Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693605271325,7324,4401
1693605271434,8544,4401
1693605271538,7019,4401
1693605271641,6713,4401
1693605271746,17395,4401
1693605271850,6103,4401
1693605271955,7019,4401
1693605272060,6713,4401
1693605272167,9155,4401
1693605272273,9460,4401
1693605272380,7934,4401
1693605272486,7324,4401
1693605272593,8544,4401
1693605272699,8544,4401
1693605272803,7019,4401
1693605272909,7324,4401
1693605273016,7019,4401
1693605273122,6408,4401
1693605273229,9155,4401
1693605273335,8850,4401
1693605273441,8239,4401
1693605273548,8544,4401
1693605273654,-189819,4401
1693605273758,-86059,4401
1693605273863,-146789,4401
1693605273969,-39062,4401
1693605274075,9460,4401
1693605274181,-13732,4401
1693605274288,-8850,4401
1693605274394,8239,4401
1693605274501,-7629,4401
1693605274607,3051,4401
1693605274714,-29907,4401
1693605274819,1525,4401
1693605274925,9460,4401
1693605275031,-26245,4401
1693605275136,-8544,4401
1693605275241,9460,4401
1693605275348,-8239,4401
1693605275454,23498,4401
1693605275561,9460,4401
1693605275664,8544,4401
1693605275770,-20141,4401
1693605275876,18310,4401
1693605275982,-38757,4401
1693605276086,5798,4401
1693605276193,11291,4401
1693605276299,1220,4401
1693605276406,9155,4401
1693605276512,7934,4401
1693605276615,10375,4401
1693605276722,-7629,4401
1693605276828,-3356,4401
1693605276934,12512,4401
1693605277040,2746,4401
1693605277146,-2136,4401
1693605277258,8850,4401
1693605277364,8239,4401
1693605277472,8239,4401
1693605277575,7629,4401
1693605277680,7934,4401
1693605277786,10070,4401
1693605277890,-11291,4401
1693605277997,11291,4401
1693605278103,10375,4401
1693605278207,9460,4401
1693605278310,7934,4401
1693605278414,7629,4401
1693605278520,5493,4401
1693605278624,-1831,4401
1693605278730,-33569,4401
