Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693584428059,7629,4415
1693584428164,7629,4415
1693584428269,7629,4415
1693584428373,7629,4415
1693584428478,7629,4415
1693584428582,7629,4415
1693584428687,7629,4415
1693584428792,7629,4415
1693584428900,7629,4415
1693584429009,7629,4415
1693584429114,7629,4415
1693584429220,7629,4415
1693584429327,7629,4415
1693584429433,7629,4415
1693584429540,7629,4415
1693584429647,7629,4415
1693584429753,7629,4415
1693584429859,7629,4415
1693584429965,7629,4415
1693584430071,7629,4415
1693584430178,7629,4415
1693584430284,7629,4415
1693584430389,7629,4415
1693584430493,7629,4415
1693584430596,7629,4415
1693584430703,7629,4415
1693584430810,7629,4415
1693584430916,7629,4415
1693584431024,7629,4415
1693584431130,7629,4415
1693584431237,7629,4415
1693584431343,7629,4415
1693584431449,7629,4415
1693584431556,7629,4415
1693584431662,7629,4415
1693584431769,7629,4415
1693584431875,7629,4415
1693584431981,7629,4415
1693584432088,7629,4415
1693584432195,7629,4415
1693584432301,7629,4415
1693584432408,7629,4415
1693584432520,7629,4415
1693584432627,7629,4415
1693584432732,7629,4415
1693584432837,7629,4415
1693584432941,7629,4415
1693584433047,7629,4415
1693584433152,7629,4415
1693584433257,7629,4415
1693584433360,7629,4415
1693584433465,7629,4415
1693584433571,7629,4415
1693584433676,7629,4415
1693584433782,7629,4415
1693584433887,7629,4415
1693584433992,7629,4415
1693584434099,7629,4415
1693584434205,7629,4415
1693584434311,7629,4415
1693584434417,7629,4415
1693584434524,7629,4415
1693584434630,7629,4415
1693584434736,7629,4415
1693584434842,7629,4415
1693584434947,7629,4415
1693584435051,7629,4415
1693584435157,7629,4415
1693584435264,7629,4415
1693584435370,7629,4415
1693584435474,7629,4415
1693584435578,7629,4415
