Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693598469309,5798,4405
1693598469418,5798,4405
1693598469522,5798,4405
1693598469625,5798,4405
1693598469730,5798,4405
1693598469835,5798,4405
1693598469942,5798,4405
1693598470048,5798,4405
1693598470155,5798,4405
1693598470262,5798,4405
1693598470369,5798,4405
1693598470475,5798,4405
1693598470582,5798,4405
1693598470688,5798,4405
1693598470795,5798,4405
1693598470902,5798,4405
1693598471009,13122,4405
1693598471116,13122,4405
1693598471222,13122,4405
1693598471329,13122,4405
1693598471436,13122,4405
1693598471543,13122,4405
1693598471646,13122,4405
1693598471750,13122,4405
1693598471856,13122,4405
1693598471962,13122,4405
1693598472069,13122,4405
1693598472176,13122,4405
1693598472282,13122,4405
1693598472389,13122,4405
1693598472495,13122,4405
1693598472602,13122,4405
1693598472708,13122,4405
1693598472815,13122,4405
1693598472922,13122,4405
1693598473028,13122,4405
1693598473135,13122,4405
1693598473241,13122,4405
1693598473348,13122,4405
1693598473453,13122,4405
1693598473560,13122,4405
1693598473667,13122,4405
1693598473771,13122,4405
1693598473878,13122,4405
1693598473983,13122,4405
1693598474089,13122,4405
1693598474196,13122,4405
1693598474302,13122,4405
1693598474409,13122,4405
1693598474516,13122,4405
1693598474622,13122,4405
1693598474729,13122,4405
1693598474835,13122,4405
1693598474942,13122,4405
1693598475048,13122,4405
1693598475155,13122,4405
1693598475261,13122,4405
1693598475367,13122,4405
1693598475474,13122,4405
1693598475580,13122,4405
1693598475687,13122,4405
1693598475794,13122,4405
1693598475901,13122,4405
1693598476006,13122,4405
1693598476110,13122,4405
1693598476215,13122,4405
1693598476319,13122,4405
1693598476424,13122,4405
1693598476529,13122,4405
1693598476635,13122,4405
1693598476741,13122,4405
1693598476845,13122,4405
