Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693599493640,6103,4405
1693599493747,6103,4405
1693599493851,6103,4405
1693599493955,6103,4405
1693599494060,6103,4405
1693599494165,6103,4405
1693599494272,6103,4405
1693599494378,6103,4405
1693599494485,6103,4405
1693599494592,6103,4405
1693599494698,6103,4405
1693599494804,6103,4405
1693599494913,6103,4405
1693599495018,6103,4405
1693599495125,6103,4405
1693599495231,6103,4405
1693599495338,6103,4405
1693599495444,6103,4405
1693599495551,6103,4405
1693599495657,6103,4405
1693599495764,6103,4405
1693599495871,6103,4405
1693599495979,6103,4405
1693599496083,6103,4405
1693599496186,6103,4405
1693599496293,6103,4405
1693599496399,6103,4405
1693599496506,6103,4405
1693599496612,6103,4405
1693599496719,6103,4405
1693599496825,6103,4405
1693599496928,6103,4405
1693599497034,6103,4405
1693599497141,6103,4405
1693599497247,6103,4405
1693599497354,6103,4405
1693599497460,6103,4405
1693599497567,6103,4405
1693599497673,6103,4405
1693599497780,6103,4405
1693599497886,6103,4405
1693599497990,6103,4405
1693599498096,6103,4405
1693599498203,6103,4405
1693599498311,6103,4405
1693599498414,6103,4405
1693599498522,6103,4405
1693599498628,6103,4405
1693599498734,6103,4405
1693599498841,6103,4405
1693599498948,6103,4405
1693599499054,6103,4405
1693599499160,6103,4405
1693599499267,6103,4405
1693599499373,6103,4405
1693599499479,6103,4405
1693599499586,6103,4405
1693599499692,6103,4405
1693599499799,6103,4405
1693599499916,6103,4405
1693599500021,6103,4405
1693599500127,6103,4405
1693599500233,6103,4405
1693599500340,6103,4405
1693599500446,6103,4405
1693599500552,6103,4405
1693599500656,6103,4405
1693599500760,6103,4405
1693599500866,6103,4405
1693599500973,6103,4405
1693599501080,6103,4405
1693599501184,6103,4405
