Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693599759079,6408,4405
1693599759184,6408,4405
1693599759289,6408,4405
1693599759393,6408,4405
1693599759497,6408,4405
1693599759601,6408,4405
1693599759706,6408,4405
1693599759811,6408,4405
1693599759916,6408,4405
1693599760021,6408,4405
1693599760126,6408,4405
1693599760231,6408,4405
1693599760337,6408,4405
1693599760442,6408,4405
1693599760549,6408,4405
1693599760656,6408,4405
1693599760762,6408,4405
1693599760869,6408,4405
1693599760976,6408,4405
1693599761082,6408,4405
1693599761188,6408,4405
1693599761294,6408,4405
1693599761401,6408,4405
1693599761506,6408,4405
1693599761617,6408,4405
1693599761720,6408,4405
1693599761826,6408,4405
1693599761933,6408,4405
1693599762039,6408,4405
1693599762145,6408,4405
1693599762254,6408,4405
1693599762361,6408,4405
1693599762467,6408,4405
1693599762571,6408,4405
1693599762678,6408,4405
1693599762784,6408,4405
1693599762890,6408,4405
1693599762996,6408,4405
1693599763102,6408,4405
1693599763208,6408,4405
1693599763314,6408,4405
1693599763420,6408,4405
1693599763526,6408,4405
1693599763629,6408,4405
1693599763736,6408,4405
1693599763839,6408,4405
1693599763945,6408,4405
1693599764051,6408,4405
1693599764157,6408,4405
1693599764264,6408,4405
1693599764370,6408,4405
1693599764475,6408,4405
1693599764578,6408,4405
1693599764684,6408,4405
1693599764789,6408,4405
1693599764894,6408,4405
1693599764998,6408,4405
1693599765104,6408,4405
1693599765210,6408,4405
1693599765316,6408,4405
1693599765419,6408,4405
1693599765525,6408,4405
1693599765632,6408,4405
1693599765738,6408,4405
1693599765844,6408,4405
1693599765952,6408,4405
1693599766056,6408,4405
1693599766159,6408,4405
1693599766265,6408,4405
1693599766371,6408,4405
1693599766475,6408,4405
1693599766584,6408,4405
1693599766688,6408,4405
