Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693578950278,7629,4419
1693578950386,7629,4419
1693578950490,7629,4419
1693578950594,7629,4419
1693578950697,7629,4419
1693578950801,7629,4419
1693578950908,7629,4419
1693578951014,7629,4419
1693578951121,7629,4419
1693578951224,7629,4419
1693578951331,7629,4419
1693578951438,7629,4419
1693578951544,7629,4419
1693578951651,7629,4419
1693578951758,7629,4419
1693578951865,7629,4419
1693578951971,9460,4419
1693578952078,9460,4419
1693578952185,9460,4419
1693578952289,9460,4419
1693578952392,9460,4419
1693578952496,9460,4419
1693578952602,9460,4419
1693578952709,9460,4419
1693578952816,9460,4419
1693578952924,9460,4419
1693578953033,9460,4419
1693578953136,9460,4419
1693578953243,9460,4419
1693578953347,9460,4419
1693578953450,9460,4419
1693578953553,9460,4419
1693578953656,9460,4419
1693578953759,9460,4419
1693578953863,9460,4419
1693578953966,9460,4419
1693578954071,9460,4419
1693578954174,9460,4419
1693578954277,9460,4419
1693578954381,9460,4419
1693578954487,9460,4419
1693578954593,9460,4419
1693578954697,9460,4419
1693578954801,9460,4419
1693578954904,9460,4419
1693578955009,9460,4419
1693578955112,9460,4419
1693578955215,9460,4419
1693578955319,9460,4419
1693578955421,9460,4419
1693578955525,9460,4419
1693578955628,9460,4419
1693578955731,9460,4419
1693578955834,9460,4419
1693578955938,9460,4419
1693578956043,9460,4419
1693578956146,9460,4419
1693578956250,9460,4419
1693578956353,9460,4419
1693578956457,9460,4419
1693578956562,9460,4419
1693578956666,9460,4419
1693578956772,9460,4419
1693578956881,9460,4419
1693578956984,9460,4419
1693578957088,9460,4419
1693578957191,9460,4419
1693578957294,9460,4419
1693578957398,9460,4419
1693578957501,9460,4419
1693578957605,9460,4419
1693578957708,9460,4419
1693578957814,9460,4419
1693578957920,9460,4419
1693578958023,9460,4419
1693578958127,9460,4419
1693578958229,9460,4419
