Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693602069281,7019,4403
1693602069388,7019,4403
1693602069492,7019,4403
1693602069596,7019,4403
1693602069700,7019,4403
1693602069806,7019,4403
1693602069911,7019,4403
1693602070018,7019,4403
1693602070123,7019,4403
1693602070230,7019,4403
1693602070337,7019,4403
1693602070447,7019,4403
1693602070554,7019,4403
1693602070660,7019,4403
1693602070765,7019,4403
1693602070872,7019,4403
1693602070976,7019,4403
1693602071082,7019,4403
1693602071186,7019,4403
1693602071290,7019,4403
1693602071394,7019,4403
1693602071498,7019,4403
1693602071601,7019,4403
1693602071705,7019,4403
1693602071809,7019,4403
1693602071912,7019,4403
1693602072016,7019,4403
1693602072123,7019,4403
1693602072228,7019,4403
1693602072334,7019,4403
1693602072440,7019,4403
1693602072546,7019,4403
1693602072651,7019,4403
1693602072757,7019,4403
1693602072865,7019,4403
1693602072969,7019,4403
1693602073075,7019,4403
1693602073181,7019,4403
1693602073287,7019,4403
1693602073393,7019,4403
1693602073500,7019,4403
1693602073604,7019,4403
1693602073708,7019,4403
1693602073812,7019,4403
1693602073915,7019,4403
1693602074020,7019,4403
1693602074126,7019,4403
1693602074232,7019,4403
1693602074338,7019,4403
1693602074445,7019,4403
1693602074553,7019,4403
1693602074659,6103,4403
1693602074766,6103,4403
1693602074872,6103,4403
1693602074978,6103,4403
1693602075082,6103,4403
1693602075186,6103,4403
1693602075292,6103,4403
1693602075396,6103,4403
1693602075502,6103,4403
1693602075608,6103,4403
1693602075714,6103,4403
1693602075821,6103,4403
1693602075925,6103,4403
1693602076031,6103,4403
1693602076137,6103,4403
1693602076243,6103,4403
1693602076349,6103,4403
1693602076455,6103,4403
1693602076562,6103,4403
1693602076670,6103,4403
1693602076774,6103,4403
1693602076878,6103,4403
