Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693581248521,8239,4416
1693581248628,5493,4416
1693581248731,6103,4416
1693581248834,8239,4416
1693581248938,5187,4416
1693581249043,5798,4416
1693581249148,8850,4416
1693581249254,6713,4416
1693581249360,5798,4416
1693581249465,8850,4416
1693581249571,8544,4416
1693581249678,6103,4416
1693581249783,7934,4416
1693581249888,9460,4416
1693581249994,9155,4416
1693581250101,7934,4416
1693581250208,7324,4416
1693581250315,8544,4416
1693581250421,7934,4416
1693581250529,8544,4416
1693581250633,7019,4416
1693581250738,-54321,4416
1693581250842,-309143,4416
1693581250945,-151977,4416
1693581251048,-285644,4416
1693581251152,-410766,4416
1693581251256,-229492,4416
1693581251360,-298767,4416
1693581251463,-279236,4416
1693581251566,-144958,4416
1693581251673,-146179,4416
1693581251780,-171203,4416
1693581251885,-70495,4416
1693581251992,-42419,4416
1693581252098,-142822,4416
1693581252209,-36926,4416
1693581252316,-10375,4416
1693581252422,22583,4416
1693581252528,9155,4416
1693581252632,10375,4416
1693581252736,305,4416
1693581252842,7019,4416
1693581252946,7324,4416
1693581253053,-10375,4416
1693581253160,-20751,4416
1693581253266,-915,4416
1693581253373,12817,4416
1693581253480,9460,4416
1693581253587,14953,4416
1693581253693,10375,4416
1693581253800,8850,4416
1693581253906,7324,4416
1693581254013,7934,4416
1693581254119,8850,4416
1693581254225,10375,4416
1693581254333,-35400,4416
1693581254440,7934,4416
1693581254545,10986,4416
1693581254652,8850,4416
1693581254758,8850,4416
1693581254865,10375,4416
1693581254970,6713,4416
1693581255075,11596,4416
1693581255179,9765,4416
1693581255286,7019,4416
1693581255392,6713,4416
1693581255498,15563,4416
1693581255605,6103,4416
1693581255709,5798,4416
1693581255812,8850,4416
