Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693581513047,8239,4416
1693581513154,8239,4416
1693581513258,8239,4416
1693581513361,8239,4416
1693581513467,8239,4416
1693581513573,8239,4416
1693581513678,8239,4416
1693581513784,8239,4416
1693581513891,8239,4416
1693581513996,8239,4416
1693581514101,8239,4416
1693581514206,8239,4416
1693581514314,8239,4416
1693581514421,8239,4416
1693581514527,8239,4416
1693581514634,8239,4416
1693581514740,8239,4416
1693581514847,8239,4416
1693581514953,8239,4416
1693581515062,8239,4416
1693581515168,8239,4416
1693581515271,8239,4416
1693581515382,8239,4416
1693581515488,8239,4416
1693581515593,8239,4416
1693581515696,8239,4416
1693581515800,8239,4416
1693581515903,8239,4416
1693581516006,8239,4416
1693581516110,8239,4416
1693581516213,8239,4416
1693581516316,8239,4416
1693581516419,8239,4416
1693581516523,8239,4416
1693581516626,8239,4416
1693581516729,8239,4416
1693581516834,8239,4416
1693581516937,8239,4416
1693581517040,8239,4416
1693581517148,8239,4416
1693581517252,8239,4416
1693581517355,8239,4416
1693581517458,8239,4416
1693581517561,8239,4416
1693581517665,8239,4416
1693581517769,8239,4416
1693581517872,8239,4416
1693581517976,8239,4416
1693581518079,8239,4416
1693581518183,8239,4416
1693581518289,8239,4416
1693581518395,8239,4416
1693581518502,8239,4416
1693581518608,8239,4416
1693581518714,8239,4416
1693581518821,8239,4416
1693581518928,8239,4416
1693581519034,8239,4416
1693581519140,8239,4416
1693581519243,8239,4416
1693581519348,8239,4416
1693581519452,8239,4416
1693581519557,8239,4416
1693581519662,8239,4416
1693581519767,8239,4416
1693581519873,8239,4416
1693581519978,8239,4416
1693581520083,8239,4416
1693581520189,8239,4416
1693581520292,8239,4416
1693581520397,8239,4416
