Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693616306464,5798,4393
1693616306570,5798,4393
1693616306673,5798,4393
1693616306777,5798,4393
1693616306882,5798,4393
1693616306987,5798,4393
1693616307093,5798,4393
1693616307198,5798,4393
1693616307303,5798,4393
1693616307410,5798,4393
1693616307516,5798,4393
1693616307623,5798,4393
1693616307730,5798,4393
1693616307836,5798,4393
1693616307943,5798,4393
1693616308049,5798,4393
1693616308156,5798,4393
1693616308262,5798,4393
1693616308369,5798,4393
1693616308479,5798,4393
1693616308582,5798,4393
1693616308685,5798,4393
1693616308791,5798,4393
1693616308897,5798,4393
1693616309005,5798,4393
1693616309112,5798,4393
1693616309218,5798,4393
1693616309325,5798,4393
1693616309430,5798,4393
1693616309537,5798,4393
1693616309643,5798,4393
1693616309749,5798,4393
1693616309855,5798,4393
1693616309962,5798,4393
1693616310068,5798,4393
1693616310174,5798,4393
1693616310280,5798,4393
1693616310384,5798,4393
1693616310488,5798,4393
1693616310591,5798,4393
1693616310698,5798,4393
1693616310804,5798,4393
1693616310910,5798,4393
1693616311015,5798,4393
1693616311120,5798,4393
1693616311226,5798,4393
1693616311332,5798,4393
1693616311436,5798,4393
1693616311539,5798,4393
1693616311645,5798,4393
1693616311749,5798,4393
1693616311855,5798,4393
1693616311959,5798,4393
1693616312066,5798,4393
1693616312173,5798,4393
1693616312280,5798,4393
1693616312384,5798,4393
1693616312491,5798,4393
1693616312597,5798,4393
1693616312703,5798,4393
1693616312809,5798,4393
1693616312915,5798,4393
1693616313020,5798,4393
1693616313126,5798,4393
1693616313229,5798,4393
1693616313333,5798,4393
1693616313436,5798,4393
1693616313540,5798,4393
