Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693617482552,7629,4390
1693617482657,7629,4390
1693617482760,7629,4390
1693617482867,7629,4390
1693617483011,7629,4390
1693617483114,7629,4390
1693617483241,7629,4390
1693617483344,7629,4390
1693617483448,7629,4390
1693617483554,-77209,4390
1693617483664,-238952,4390
1693617483771,-244751,4390
1693617483875,7629,4390
1693617483978,10070,4390
1693617484085,14343,4390
1693617484190,8239,4390
1693617484294,7629,4390
1693617484398,7934,4390
1693617484503,7019,4390
1693617484607,6408,4390
1693617484712,7629,4390
1693617484817,7324,4390
1693617484921,11291,4390
1693617485025,7019,4390
1693617485130,8239,4390
1693617485234,10681,4390
1693617485340,12817,4390
1693617485444,13122,4390
1693617485549,9155,4390
1693617485652,8544,4390
1693617485824,11901,4390
1693617485928,11596,4390
1693617486032,9765,4390
1693617486136,-27160,4390
1693617486239,-140380,4390
1693617486343,8850,4390
1693617486446,12512,4390
1693617486550,14038,4390
1693617486654,8544,4390
1693617486757,8544,4390
1693617486860,-7324,4390
1693617486964,-201721,4390
1693617487067,-120239,4390
1693617487171,-216674,4390
1693617487275,-173339,4390
1693617487378,-234680,4390
1693617487482,-158691,4390
1693617487586,-82397,4390
1693617487691,-110168,4390
1693617487794,-142822,4390
1693617487897,-95520,4390
1693617488001,-122985,4390
1693617488104,-129089,4390
1693617488209,10070,4390
1693617488313,14038,4390
1693617488417,610,4390
1693617488522,10070,4390
1693617488626,10375,4390
1693617488731,-915,4390
1693617488836,28076,4390
1693617488942,-2136,4390
1693617489047,9155,4390
1693617489153,8850,4390
1693617489259,23498,4390
1693617489365,12817,4390
1693617489471,21667,4390
1693617489576,8850,4390
1693617489683,8544,4390
1693617489787,3967,4390
1693617489891,9765,4390
1693617489997,-273742,4390
1693617490101,9155,4390
1693617490207,-66833,4390
1693617490313,11901,4390
1693617490420,13427,4390
1693617490526,10070,4390
1693617490635,11596,4390
1693617490741,2746,4390
1693617490848,14038,4390
1693617490956,8544,4390
1693617491062,9765,4390
1693617491168,-2136,4390
1693617491274,10070,4390
1693617491380,10375,4390
1693617491486,11291,4390
1693617491593,5187,4390
1693617491698,7324,4390
1693617491804,9765,4390
1693617491910,16784,4390
1693617492016,13122,4390
1693617492122,24414,4390
1693617492228,10070,4390
1693617492333,12512,4390
1693617492440,13122,4390
1693617492545,9765,4390
1693617492650,9155,4390
1693617492755,25024,4390
1693617492861,-3356,4390
1693617492967,-18920,4390
1693617493074,13122,4390
1693617493180,3356,4390
1693617493286,1831,4390
1693617493393,12207,4390
1693617493500,10375,4390
1693617493606,9460,4390
1693617493712,25329,4390
1693617493818,-23498,4390
1693617493925,18005,4390
1693617494033,14343,4390
1693617494142,10375,4390
1693617494246,11291,4390
1693617494351,12207,4390
1693617494456,10375,4390
1693617494561,9460,4390
1693617494666,14038,4390
1693617494770,10681,4390
1693617494875,11291,4390
1693617494978,-15258,4390
