Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1693595933280,7324,4408
1693595933387,7324,4408
1693595933491,7324,4408
1693595933594,7324,4408
1693595933698,7324,4408
1693595933803,7324,4408
1693595933909,7324,4408
1693595934014,7324,4408
1693595934121,7324,4408
1693595934228,7324,4408
1693595934336,7324,4408
1693595934443,7324,4408
1693595934549,7324,4408
1693595934656,7324,4408
1693595934762,7324,4408
1693595934869,7324,4408
1693595934973,7324,4408
1693595935079,7324,4408
1693595935187,7324,4408
1693595935293,7324,4408
1693595935405,7324,4408
1693595935508,7324,4408
1693595935614,7324,4408
1693595935722,7324,4408
1693595935828,7324,4408
1693595935935,7324,4408
1693595936042,7324,4408
1693595936149,7324,4408
1693595936256,7324,4408
1693595936362,7324,4408
1693595936468,7324,4408
1693595936575,7324,4408
1693595936684,7324,4408
1693595936790,7324,4408
1693595936896,7324,4408
1693595937003,7324,4408
1693595937109,7324,4408
1693595937216,7324,4408
1693595937322,7324,4408
1693595937427,7324,4408
1693595937532,7324,4408
1693595937638,7324,4408
1693595937745,7324,4408
1693595937852,7324,4408
1693595937959,7324,4408
1693595938065,7324,4408
1693595938172,7324,4408
1693595938278,7324,4408
1693595938385,7324,4408
1693595938489,7324,4408
1693595938595,7324,4408
1693595938701,7324,4408
1693595938808,7324,4408
1693595938915,7324,4408
1693595939021,7324,4408
1693595939128,7324,4408
1693595939234,7324,4408
1693595939341,7324,4408
1693595939446,7324,4408
1693595939550,7324,4408
1693595939656,7324,4408
1693595939763,7324,4408
1693595939870,7324,4408
1693595939976,7324,4408
1693595940082,7324,4408
1693595940188,7324,4408
1693595940294,7324,4408
1693595940401,7324,4408
1693595940507,7324,4408
1693595940610,7324,4408
